순번,국가코드,국가,수도,인구
146,LV, 라트비아,리가,1915100 
147,GW, 기니비사우,비사우,1604528 
148,BH, 바레인,마나마,1543300 
149,TT, 트리니다드 토바고,포트오브스페인,1359193 
150,GQ, 적도 기니,말라보,1358276 
151,EE, 에스토니아,탈린,1324820 
152,MU, 모리셔스,포트루이스,1265577 
153,TL, 동티모르,딜리,1131664 
154,SZ, 에스와티니,음바바네,1093238 
155,DJ, 지부티,지부티,1078373 
156,FJ, 피지,수바,884887 
157,KM, 코모로,모로니,873724 
158,CY, 키프로스,니코시아,864200 
159,GY, 가이아나,조지타운,786508 
160,BT, 부탄,팀푸,741672 
161,SB, 솔로몬 제도,호니아라,680806 
162,ME, 몬테네그로,포드고리차,622359 
163,LU, 룩셈부르크,룩셈부르크,613894 
164,SR, 수리남,파라마리보,573085 
165,CV, 카보베르데,프라이아,550483 
166,MT, 몰타,발레타,475701 
167,BN, 브루나이,반다르스리브가완,421300 
168,BZ, 벨리즈,벨리즈시티,398050 
169,BS, 바하마,나소,385340 
170,MV, 몰디브,말레,378114 
171,IS, 아이슬란드,레이캬비크,358780 
172,VU, 바누아투,포트빌라,304500 
173,BB, 바베이도스,브리지타운,287010 
174,ST, 상투메 프린시페,상투메,201784 
175,WS, 사모아,아피아,200874 
176,LC, 세인트루시아,캐스트리스,180454 
177,GU, 괌,하갓냐,172400 
178,KI, 키리바시,타라와,120100 
179,VC, 세인트빈센트 그레나딘,킹스타운,110520 
180,GD, 그레나다,세이트조지스,108825 
181,FM, 미크로네시아 연방,팔리키르,105300 
182,AG, 앤티가 바부다,세이트존스,104084 
183,TO, 통가,누쿠알로파,100300 
184,SC, 세이셸,빅토리아,96762 
185,AD, 안도라,안도라라벨랴,76177 
186,KN, 세인트키츠 네비스,바스테르,56345 
187,MP, 북마리아나 제도,사이판섬,56200 
188,GL, 그린란드,누크,55992 
189,MH, 마셜 제도,마주로,55500 
190,LI, 리히텐슈타인,파두츠,38380 
191,MC, 모나코,모나코,38300 
192,GI, 지브롤터,웨스트사이드,34879 
193,SM, 산마리노,산마리노,33422 
194,PW, 팔라우,응게룰무드,17900 
195,CK, 쿡 제도,아바루아,15200 
196,NR, 나우루,야렌,11000 
197,TV, 투발루,푸나푸티,10200 
198,NU, 니우에,알로피,1520 
