Country,Capital City,Population
Slovenia,Ljubljana,286491
Solomon Islands,Honiara,81801
Somalia,Muqdisho (Mogadishu),2081624
South Africa,Cape Town,4430367
South Sudan,Juba,368914
Spain,Madrid,6497124
Sri Lanka,Colombo,599821
State of Palestine,Al-Quds[East Jerusalem],275086
Sudan,Al-Khartum (Khartoum),5534079
Suriname,Paramaribo,239457
Swaziland,Mbabane,68010
Sweden,Stockholm,1582968
Switzerland,Bern,422153
Syrian Arab Republic,Dimashq (Damascus),2319545
Tajikistan,Dushanbe,872653
TFYR Macedonia,Skopje,584208
Thailand,Krung Thep (Bangkok),10156316
Timor-Leste,Dili,281135
Togo,Lomé,1745744
Tokelau,Tokelau,0
Tonga,Nuku'alofa,22904
Trinidad and Tobago,Port of Spain,544417
Tunisia,Tunis,2290777
Turkey,Ankara,4919074
Turkmenistan,Ashgabat,810186
Turks and Caicos Islands,Cockburn Town,5447
Tuvalu,Funafuti,7042
Uganda,Kampala,2986352
Ukraine,Kyiv (Kiev),2956706
United Arab Emirates,Abu Zaby (Abu Dhabi),1419699
United Kingdom,London,9046485
United Republic of Tanzania,Dodoma,261645
United States of America,"Washington, D.C.",5206593
United States Virgin Islands,Charlotte Amalie,52322
Uruguay,Montevideo,1736989
Uzbekistan,Tashkent,2463969
Vanuatu,Port Vila,52690
Venezuela (Bolivarian Republic of),Caracas,2934560
Viet Nam,Hà Noi,4282738
Wallis and Futuna Islands,Matu-Utu,1025
Western Sahara,El Aaiún,232388
Yemen,Sana'a',2779317
Zambia,Lusaka,2523844
Zimbabwe,Harare,1515016
